datetime,tide_m,pair,month,day
2023-05-21 10:12:00,2.53,2,5,21
2023-05-21 18:02:00,0.25,3,5,21
2023-05-22 00:29:00,1.56,1,5,22
2023-05-22 04:25:00,1.19,2,5,22
2023-05-22 10:43:00,2.52,3,5,22
2023-05-22 18:48:00,0.28,4,5,22
2023-05-23 01:15:00,1.5,1,5,23
2023-05-23 04:48:00,1.26,2,5,23
2023-05-23 11:14:00,2.46,3,5,23
2023-05-23 19:33:00,0.33,4,5,23
2023-05-24 02:05:00,1.44,1,5,24
2023-05-24 05:05:00,1.32,2,5,24
2023-05-24 11:46:00,2.38,3,5,24
2023-05-24 20:19:00,0.39,4,5,24
2023-05-25 12:22:00,2.26,1,5,25
2023-05-25 21:07:00,0.46,2,5,25
2023-05-26 13:05:00,2.13,1,5,26
2023-05-26 21:57:00,0.53,2,5,26
2023-05-27 14:02:00,1.98,1,5,27
2023-05-27 22:48:00,0.59,2,5,27
2023-05-28 15:35:00,1.84,1,5,28
2023-05-28 23:38:00,0.65,2,5,28
2023-05-29 07:01:00,1.67,1,5,29
2023-05-29 11:44:00,1.42,2,5,29
2023-05-29 17:02:00,1.74,3,5,29
2023-05-30 00:21:00,0.71,1,5,30
2023-05-30 07:16:00,1.79,2,5,30
2023-05-30 13:02:00,1.22,3,5,30
2023-05-30 18:26:00,1.69,4,5,30
2023-05-31 00:58:00,0.77,1,5,31
2023-05-31 07:32:00,1.93,2,5,31
2023-05-31 13:53:00,0.98,3,5,31
2023-05-31 19:43:00,1.66,4,5,31
2023-06-01 01:31:00,0.84,1,6,1
2023-06-01 07:49:00,2.11,2,6,1
2023-06-01 14:39:00,0.75,3,6,1
2023-06-01 20:48:00,1.65,4,6,1
2023-06-02 02:03:00,0.92,1,6,2
2023-06-02 08:11:00,2.3,2,6,2
2023-06-02 15:23:00,0.52,3,6,2
2023-06-02 21:51:00,1.64,4,6,2
2023-06-03 02:36:00,1.0,1,6,3
2023-06-03 08:40:00,2.48,2,6,3
2023-06-03 16:09:00,0.33,3,6,3
2023-06-03 22:50:00,1.63,4,6,3
2023-06-04 03:09:00,1.08,1,6,4
2023-06-04 09:13:00,2.64,2,6,4
2023-06-04 16:58:00,0.19,3,6,4
2023-06-04 23:46:00,1.6,4,6,4
2023-06-05 03:44:00,1.15,1,6,5
2023-06-05 09:51:00,2.74,2,6,5
2023-06-05 17:49:00,0.1,3,6,5
2023-06-06 00:40:00,1.56,1,6,6
2023-06-06 04:21:00,1.21,2,6,6
2023-06-06 10:33:00,2.78,3,6,6
2023-06-06 18:41:00,0.08,4,6,6
2023-06-07 01:33:00,1.52,1,6,7
2023-06-07 05:02:00,1.26,2,6,7
2023-06-07 11:19:00,2.75,3,6,7
2023-06-07 19:33:00,0.1,4,6,7
2023-06-08 02:29:00,1.5,1,6,8
2023-06-08 05:49:00,1.32,2,6,8
2023-06-08 12:09:00,2.65,3,6,8
2023-06-08 20:25:00,0.17,4,6,8
2023-06-09 03:34:00,1.51,1,6,9
2023-06-09 06:48:00,1.37,2,6,9
2023-06-09 13:07:00,2.49,3,6,9
2023-06-09 21:17:00,0.27,4,6,9
2023-06-10 04:51:00,1.57,1,6,10
2023-06-10 08:10:00,1.4,2,6,10
2023-06-10 14:18:00,2.29,3,6,10
2023-06-10 22:10:00,0.4,4,6,10
2023-06-11 05:48:00,1.67,1,6,11
2023-06-11 09:56:00,1.34,2,6,11
2023-06-11 15:46:00,2.09,3,6,11
2023-06-11 23:01:00,0.54,4,6,11
2023-06-12 06:27:00,1.79,1,6,12
2023-06-12 11:22:00,1.2,2,6,12
2023-06-12 17:09:00,1.89,3,6,12
2023-06-12 23:50:00,0.68,4,6,12
2023-06-13 06:58:00,1.93,1,6,13
2023-06-13 12:39:00,0.99,2,6,13
2023-06-13 18:29:00,1.72,3,6,13
2023-06-14 00:34:00,0.83,1,6,14
